 
2016-10-25, 11:32:58, Cycletime ,Code , 99 ,Info , Sation:6 Boren Type:7 |Time:1419.38 
2016-10-25, 14:37:12, Main ,Code , 18 ,Info , PP to main 
2016-10-25, 14:44:31, Cycletime ,Code , 99 ,Info , Sation:6 Boren Type:7 |Time:225.65 
2016-10-25, 14:54:29, Main ,Code , 18 ,Info , PP to main 
2016-10-25, 14:58:33, Cycletime ,Code , 99 ,Info , Sation:6 Boren Type:7 |Time:132.86 
2016-10-25, 18:35:50, Main ,Code , 18 ,Info , PP to main 
2016-10-25, 18:38:17, Cycletime ,Code , 99 ,Info , Sation:6 Boren Type:7 |Time:114.52 
2016-10-27, 14:22:27, Main ,Code , 18 ,Info , PP to main 
2016-10-27, 14:36:32, Main ,Code , 18 ,Info , PP to main 
2016-10-27, 14:37:45, Main ,Code , 18 ,Info , PP to main 
2016-10-27, 14:39:00, Main ,Code , 18 ,Info , PP to main
