 
2016-10-11, 14:46:06, Cycletime ,Code , 99 ,Info , Sation:2 Boren Type:4 |Time:224.18 
2016-10-11, 14:56:13, Cycletime ,Code , 99 ,Info , Sation:3 Boren Type:4 |Time:606.33 
2016-10-11, 14:59:57, Cycletime ,Code , 99 ,Info , Sation:4 Boren Type:4 |Time:224.19 
2016-10-11, 15:02:39, Cycletime ,Code , 99 ,Info , Sation:1 Frezen Type:4 |Time:161.75 
2016-10-11, 15:04:48, Cycletime ,Code , 99 ,Info , Sation:2 Frezen Type:4 |Time:128.84 
2016-10-11, 15:06:57, Cycletime ,Code , 99 ,Info , Sation:3 Frezen Type:4 |Time:128.99 
2016-10-11, 15:09:05, Cycletime ,Code , 99 ,Info , Sation:4 Frezen Type:4 |Time:128.87 
2016-10-11, 15:10:48, Cycletime ,Code , 99 ,Info , Ontlaad Station:4 naar buffer:1 |Time:35.77 
2016-10-11, 15:11:19, Cycletime ,Code , 99 ,Info , Ontlaad Station:3 naar buffer:1 |Time:31.12 
2016-10-11, 15:11:44, Cycletime ,Code , 99 ,Info , Ontlaad Station:2 naar buffer:1 |Time:25.15 
2016-10-11, 15:12:04, Cycletime ,Code , 99 ,Info , Ontlaad Station:1 naar buffer:1 |Time:19.66 
2016-10-11, 15:16:04, Main ,Code , 18 ,Info , PP to main 
2016-10-11, 15:17:34, Offset ,Code , 31 ,Info , off:1 x=-3.84 n=-4.04 p=-3.65 P1=-765.28 P2=785.42 
2016-10-11, 15:17:35, Cycletime ,Code , 99 ,Info , Laad Station:1 van Buffer:1 |Time:69.32 
2016-10-11, 15:18:29, Offset ,Code , 31 ,Info , off:2 x=-2.56 n=-3.68 p=-1.44 P1=-765.63 P2=783.21 
2016-10-11, 15:18:30, Cycletime ,Code , 99 ,Info , Laad Station:2 van Buffer:1 |Time:54.82 
2016-10-11, 15:19:28, Offset ,Code , 31 ,Info , off:3 x=-1.65 n=-1.70 p=-1.60 P1=-767.62 P2=783.38 
2016-10-11, 15:19:28, Cycletime ,Code , 99 ,Info , Laad Station:3 van Buffer:1 |Time:58.58 
2016-10-11, 15:20:25, Offset ,Code , 31 ,Info , off:4 x=-1.11 n=-1.97 p=-0.26 P1=-767.35 P2=782.03 
2016-10-11, 15:20:26, Cycletime ,Code , 99 ,Info , Laad Station:4 van Buffer:1 |Time:57.47 
2016-10-11, 15:25:10, Cycletime ,Code , 99 ,Info , Sation:1 Boren Type:4 |Time:283.95 
2016-10-11, 15:28:54, Cycletime ,Code , 99 ,Info , Sation:2 Boren Type:4 |Time:224.23 
2016-10-11, 15:32:38, Cycletime ,Code , 99 ,Info , Sation:3 Boren Type:4 |Time:224.20 
2016-10-11, 15:36:23, Cycletime ,Code , 99 ,Info , Sation:4 Boren Type:4 |Time:224.31 
2016-10-11, 15:39:01, Cycletime ,Code , 99 ,Info , Sation:1 Frezen Type:4 |Time:158.82 
2016-10-11, 15:41:10, Cycletime ,Code , 99 ,Info , Sation:2 Frezen Type:4 |Time:128.93 
2016-10-11, 15:43:19, Cycletime ,Code , 99 ,Info , Sation:3 Frezen Type:4 |Time:128.96 
2016-10-11, 15:45:28, Cycletime ,Code , 99 ,Info , Sation:4 Frezen Type:4 |Time:128.69 
2016-10-11, 15:47:27, Cycletime ,Code , 99 ,Info , Ontlaad Station:4 naar buffer:1 |Time:35.59 
2016-10-11, 15:47:57, Cycletime ,Code , 99 ,Info , Ontlaad Station:3 naar buffer:1 |Time:30.37 
